unseen_transaction,matched_transaction,matched_class,previous_classes
CRUISIN MOTORHOMES CAMBRIDGE AUS Card xx6552 Value Date: 25/05/2023,SQ *HAVEN SPECIALTY CO Haymarket NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,Travel
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 23/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 22/05/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
BOTTLEMART DEE WHY AU AUS Card xx0033 Value Date: 21/05/2023,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 22/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 19/05/2023,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
GOOGLE*GOOGLE STORAGE G.CO/HELPPAY# AU AUS Card xx6552 Value Date: 20/05/2023,GOOGLE*GOOGLE STORAGE G.CO/HELPPAY# AU AUS Card xx6552 Value Date: 20/04/2023,Utility,Utility
SQ *FRENCH BASKET DEE Dee Why NS AUS Card xx6552 Value Date: 21/05/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 21/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
OFFICEWORKS BENTLEIGH EAS AUS Card xx6552 Value Date: 21/05/2023,ADOBE CREATIVE CLOUD Sydney AU AUS Card xx6552 Value Date: 03/04/2023,Utility,Shopping
WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 19/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 19/05/2023,KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 18/04/2023,Shopping,Shopping
Warringah Mall Phrmcy Brookvale NS AUS Card xx0033 Value Date: 19/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Groceries
KIDSTUFF WARRINGAH Brookvale NS AUS Card xx0033 Value Date: 19/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Shopping
KIDSTUFF WARRINGAH Brookvale NS AUS Card xx0033 Value Date: 19/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Shopping
COTTON ON KIDS 2265 BROOKVALE NS AUS Card xx0033 Value Date: 19/05/2023,COLES 0897 BROOKVALE AU AUS Card xx0033 Value Date: 30/03/2023,Groceries,Shopping
GIRDLERS WARRINGAH Brookvale NS AUS Card xx0033 Value Date: 19/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,DinnerBars
